project_id,complexity,team_size,budget_k,duration_weeks,stakeholder_count,risk_score,success,roi_percent
41,9,14,72,24,2,0.20500181005323725,1,72.82363311343533
42,2,3,78,19,4,0.3792285849638004,0,96.80549164872978
43,10,4,31,24,2,0.9264494235897112,0,54.18156540052682
44,9,3,76,14,5,0.7215965507512772,1,90.88375904916518
45,10,14,85,40,6,0.04809464396408769,1,62.3185711180263
46,5,7,35,39,5,0.7815144817514149,0,45.32878423364113
47,2,7,25,38,6,0.8279408871774919,0,32.490446214357725
48,4,13,60,22,1,0.7505019247653135,0,64.67987573908373
49,7,9,95,23,5,0.7995371309195156,1,80.11267679503065
50,8,11,66,21,1,0.8251326766927972,1,82.49501485615967
51,3,11,38,50,4,0.1864049867881441,0,46.26610915011807
52,1,5,87,44,2,0.23569174606499976,0,64.10938372486598
53,4,5,78,52,6,0.6337585637201772,1,61.23386493883831
54,2,5,56,17,2,0.907866130462516,0,73.65394775357419
55,8,6,71,18,1,0.3161965822964946,1,67.9542066240351
56,4,10,78,34,6,0.5883066757950567,1,79.70569700591936
57,2,8,85,4,2,0.6829820634171324,1,103.05516757176612
58,6,10,25,6,5,0.45194860129903924,1,43.894026159950755
59,6,3,99,19,3,0.713782454855326,1,90.50673453620072
60,10,10,99,26,1,0.8996674452921731,1,81.47640104084745
61,4,6,57,14,2,0.6241015441818376,1,71.03162974516613
62,6,13,94,15,1,0.539781061914633,1,85.19349494868374
63,2,3,48,13,7,0.43874467538833906,1,68.8232430464694
64,10,10,42,35,1,0.5774862709061257,0,48.975715357726514
65,2,6,32,19,6,0.3553624518183959,1,52.74221757997557
66,10,8,19,11,7,0.3914821102015019,1,66.78870538540215
67,4,10,78,41,8,0.531857479688174,1,71.19036140357422
68,8,6,43,15,6,0.06661911239081697,1,54.62724462090384
69,7,5,61,27,3,0.22902539092479635,0,58.334786581113754
70,9,11,19,31,7,0.5428493106134089,1,48.14642366013021
71,8,5,28,11,8,0.4315281431364426,1,65.51947714839208
72,5,11,67,31,5,0.3328157859124843,1,59.09035546850415
73,2,15,10,39,1,0.7305491368093014,0,32.665584699071374
74,5,4,78,29,2,0.6937176074033384,0,94.10523647490308
75,8,4,13,11,4,0.16673075999338316,1,44.6018267147204
76,10,4,25,31,1,0.8786291153734382,0,68.69433703832223
77,9,8,33,31,8,0.49542362640396564,1,60.7909056892977
78,9,5,89,40,1,0.7414609111390454,1,91.16877186194512
79,1,15,11,44,3,0.5731508492573887,0,24.1407887718796
80,9,11,41,39,5,0.9976926159238433,1,51.49136741861082
81,7,6,100,30,4,0.7524031200388227,1,82.03239311263259
82,9,3,93,20,7,0.706980461243459,1,100.83733653169662
83,8,6,33,12,7,0.7785719390507511,1,60.20888166378662
84,1,3,21,36,7,0.14312798554846962,0,44.04343478891343
85,8,7,59,23,8,0.20454459316946327,1,72.22844004361505
86,8,6,44,16,6,0.7140640822236142,0,67.46034551509436
87,3,10,42,31,6,0.49398148713086265,0,67.22641221295198
88,1,10,42,51,2,0.7546352918601166,0,43.92315161586722
89,8,9,70,32,4,0.10291603074414502,0,71.97001749352448
90,3,5,60,16,7,0.5364813514845947,1,69.21777982566812
91,3,3,52,49,6,0.3788215655569157,0,38.25384751450091
92,1,3,21,38,8,0.45700021928167833,0,45.78145748539287
93,5,14,76,9,2,0.6039578720725125,1,92.0479811640626
94,10,13,74,21,5,0.5022883474625301,1,79.75596011590896
95,7,5,42,8,2,0.5398606371128367,1,67.36172289175053
96,10,8,49,50,6,0.4863574819956078,1,59.85566958521912
97,9,9,83,28,3,0.4089551770854932,1,64.82369372831647
98,7,8,52,5,8,0.7718819805982451,1,68.50538970867272
99,9,8,53,13,3,0.012203072318044517,0,76.94369577481874
100,8,8,38,33,7,0.598442701205227,1,60.485390853482976
101,2,15,22,48,3,0.5655083473229738,0,36.59271126314842
102,1,5,21,8,7,0.7161790747329522,1,59.18226852830146
103,7,8,55,36,7,0.5990293647773265,1,63.31451493967738
104,7,10,11,4,6,0.8267988278090783,1,78.17629124928612
105,8,13,44,21,3,0.9590747945640278,1,92.04621002438252
106,5,13,96,35,7,0.3425242571785434,1,60.36110551703386
107,3,4,90,50,4,0.22735098302998702,0,58.08430863781441
108,8,7,99,52,5,0.4235968624204829,1,62.51823599435643
109,6,3,17,14,2,0.2879296164757261,1,67.84449088175408
110,3,14,35,24,2,0.6149502631526544,1,32.03655276587453
111,1,3,83,29,6,0.9118524088429647,1,85.45687601908512
112,3,7,99,28,3,0.13911619414306187,0,78.72305885724029
113,5,14,43,25,3,0.1007946030158865,1,71.38907352563527
114,3,15,16,30,7,0.2560155318536622,1,54.57054371858123
115,1,5,77,52,8,0.7260955860624008,0,63.016023208890935
116,5,6,67,16,1,0.5929629052588216,0,62.43239834547024
117,10,5,84,36,7,0.10221266422519959,0,62.08323181890066
118,7,3,38,37,5,0.9187505222607465,0,47.64359445647008
119,7,3,45,44,4,0.7900846371240867,0,36.33629842670622
120,9,14,98,38,2,0.023022604787637513,1,84.17606886647008
121,10,14,30,4,7,0.6513672109882461,1,54.179407137138405
122,10,15,45,24,1,0.771246668519738,0,83.0657417697345
123,3,7,19,51,1,0.374435369720422,0,47.172580037658804
124,7,8,82,9,7,0.06892153936721879,1,81.53861277507713
125,1,5,33,31,6,0.07732106548878726,0,48.85816435618604
126,4,14,73,20,2,0.1042469660518095,1,72.81963487981385
127,4,11,58,8,6,0.8404396319804229,1,90.82264432342114
128,5,7,45,34,4,0.9106861982557131,0,70.55363536820472
129,7,10,91,8,1,0.1228107818457338,1,93.708077739658
130,7,15,33,41,1,0.2359060345950812,0,44.85022744376143
131,4,3,32,6,5,0.16552051036728976,0,57.24916246427773
132,7,7,71,26,4,0.18632087949412068,1,73.53034846384458
133,3,5,46,40,1,0.8374907890024921,0,55.00252867926473
134,6,14,21,40,4,0.33214641265493894,1,26.70351923903582
135,2,3,64,13,2,0.3114442640456412,0,75.87407154702531
136,10,6,22,13,3,0.22739562087711263,0,50.342131028910394
137,9,15,32,22,1,0.6078943937942587,1,50.583988119762004
138,5,7,98,20,5,0.37930569838554884,1,77.32814490785981
139,6,9,39,24,2,0.7442496518432888,0,60.76752385092765
140,4,3,26,17,7,0.2055798083756375,1,45.35105802050294
141,10,5,71,12,4,0.7877898887144924,1,80.26681716411792
142,7,4,93,49,7,0.603721531730139,1,78.98845806947428
143,9,11,98,4,6,0.11426730005568775,1,103.66383401324066
144,7,12,95,48,2,0.4145045842036277,1,58.25737936342375
145,1,8,22,16,7,0.863518140612957,0,61.95409208519393
146,1,12,68,7,8,0.9229602317984849,1,89.65740930062638
147,9,5,28,4,8,0.4657001223188132,1,82.87396330852275
148,9,10,58,52,1,0.48083697808907355,0,61.239819789613485
149,4,10,21,43,4,0.9184547249393011,0,24.247059992294652
150,9,4,70,35,3,0.5870682241365672,0,74.98195893095168
151,3,8,28,37,2,0.03284667024343835,0,51.08043921867137
152,7,9,85,31,1,0.9127494628791288,1,85.52108671607459
153,6,4,18,34,5,0.2482264427571519,0,34.328142990629615
154,8,13,80,11,6,0.5776319540915472,1,112.21025869208682
155,9,12,37,42,4,0.16551331742797382,0,47.269225983549966
156,5,4,87,29,2,0.033879160246594986,0,93.30423433974823
157,1,12,61,37,8,0.3114731711327574,1,71.22951600606265
158,3,3,92,6,2,0.7804957075460877,1,104.24630367769392
159,10,10,25,15,3,0.2775871726294181,1,48.97886261155791
160,8,3,78,4,8,0.22009721408109706,1,88.15992335928597
161,6,11,21,47,3,0.21268078434122628,0,27.507683315476733
162,8,13,34,8,5,0.5151736824068126,1,54.406547267575434
163,9,8,61,33,6,0.9755413156827563,1,73.6582289064246
164,4,9,94,33,5,0.45898898801701304,1,94.16341989976424
165,1,15,62,20,1,0.5573053688900479,1,69.59001874338601
166,1,12,32,51,1,0.860632017890734,0,60.542885171154715
167,10,9,25,50,5,0.5350697189336586,0,17.27486933071925
168,4,12,66,26,6,0.1844628714188561,1,77.1882641980606
169,7,5,48,18,5,0.29959591176647704,0,81.11116147171887
170,2,4,62,40,6,0.3099369262686109,1,54.059063452875506
171,3,11,51,24,6,0.3973181154575979,1,60.81261610314718
172,1,10,67,17,7,0.4267889053367494,1,86.2955408118115
173,5,15,48,5,8,0.7997820220742694,1,83.55773132033804
174,1,14,23,14,4,0.349386999049333,1,35.219756555898265
175,8,12,14,42,6,0.46823182844137934,1,23.84858673901999
176,1,9,44,41,3,0.6249759870510523,0,49.414264390035925
177,1,11,96,37,6,0.3777259474401693,1,62.18027767755102
178,2,6,84,41,6,0.8365648132923329,1,66.92390496862429
179,2,15,27,37,6,0.5874536042340743,0,30.0276817899014
180,6,6,85,21,7,0.29404467922097155,1,77.0387404866758
181,7,3,18,33,8,0.7140591997898282,1,39.67436472468668
182,5,10,83,18,7,0.5276477301447858,1,87.694024067385
183,1,14,67,30,1,0.5344558912572469,1,66.92696567257747
184,1,5,26,37,7,0.48108794838758595,0,46.93877669428342
185,3,9,16,41,3,0.497011948821249,0,38.105559562951704
186,2,14,55,36,3,0.7653562810662407,0,70.2669627533055
187,5,4,22,27,7,0.10298147933131552,1,51.86764520291432
188,10,4,49,18,8,0.3343628113104822,1,72.92486646445198
189,6,9,51,33,5,0.07550336380388922,1,84.20370792270612
190,7,8,18,45,4,0.7532462207474508,0,38.5064885738978
191,4,5,59,20,8,0.27230185472029944,1,94.15873358579161
192,7,11,36,8,7,0.8974304098188842,1,75.49648812062819
193,8,12,75,32,6,0.5265784666592938,1,69.53727551853402
194,1,15,14,7,2,0.800749771486121,0,56.37584589272924
195,6,8,38,13,4,0.9789314356159612,1,84.78657234064391
196,8,12,46,20,4,0.8397888594565706,1,83.80292252344508
197,5,12,47,13,3,0.8669937600115235,1,79.06777615976253
198,4,8,92,20,4,0.4079844953648447,1,97.4153126986755
199,2,3,17,23,7,0.5517225952593398,0,35.145021293362575
200,6,6,74,27,6,0.2538885640433043,1,55.15108741531091
